Spell_Entry	Spell_Name	Distance	Spell_Type	Value_1	Value_2	Value_3	Value_4	CoolTime	Spell_Script	Context
1	공격	2	0	1.0f	0	0	0	5		
2	방패막기	2	6	0	0	0	0	15	Spell_ShildBlock	스킬사용시 아군전체의 데미지를 일정시간동안 20프로 감소시켜서 대신받음
3	하급치유	2	4	0	2	0	0	8		
4	광분	2	0	1.2f	0	0	0	7	Spell_Frenzy	스킬사용시 일정시간동안 힘이증가하고 방어력이 감소 버프(중첩됨)
5	사기진작	4	6	0	0	0	0	10		
6	검기날리기	4	2	0.5	0.8	0	0	8		
7	꿇어라	4	6	0	0	0	0	15	Spell_Taunt	스킬사용시 적전체 스킬쿨타임 증가
8	끌어오기	4	0	0.2	0	0	0	8	Spell_Pull	스킬사용시 Distance의 적을 맨앞으로 끌어옴
9	기요틴커터	4	0	1	0	0	0	7	Spell_Giyotin	스킬사용시 출혈디버프를 건다
10	사신의 춤	4	2	0	0	0	0	15	Spell_DanceofReaper	스킬사용시 세번에 걸쳐 자동으로 시전 전열 중열 후열에 1초별로 각각 다른데미지를 준다 그동안 다른스킬사용불가
11	그림자은폐	4	6	0	0	0	0	15	Spell_HideShadow	스킬사용시 일정시간동안 공격하지도 공격받지도 않음 스킬테이블에 이미있으면 더 이상 나오지않음
12	사형선고	4	0	5	0	0	0	0	Spell_Reaper	그림자은폐상태에서만 사용가능 적하나를 지정해서 상대의 버프를 무시한 방어무시공격을 가함
13	수확	4	6					2	Spell_Harvest	그림자은폐상태에서만 사용가능 대상하나를 정해서 대상의 버프를 모두 빼앗는다
14	강타	2	0	1.5	0	0	0	5		
15	방패밀쳐내기	2	0	0.2	0	0	0.5	5		적중한 상대는 1초간 스턴에 빠짐
16	죽음의 희열	2	0	1.2	0	0	0	5	Spell_Happy	이기술로 상대의 막타를 치면 자신의 모든스킬쿨타임이 초기화
17	가로막기	2	4	0	0	0	0	6	Spell_Blocking	아군대상을 지정하여 대상이랑 5초간 위치를 바꿈 대상에게는 일정량 힐을 줌
18	수호의 영령	2	5	0	0	0	0	30	Spell_HolyShield	아군전체에게 딱한번 1초간 피해를 막아주는 보호막을 걸어줌
19	갈망의 일격	2	0	2	0	0	-0.5	6	Spell_BloodThirst	입힌데미지만큼 자신의 체력을 회복한다
20	대격변	4	2	3	0	0	-0.5	10	Spell_Cata	아군과 적 전체에게 데미지를 줌 자신을 제외한 아군에게는 데미지의 20퍼센트만 줌
21	불타는 대지	2	2	0.2	0	0	0	3	Spell_Imolation	자기자신과 적에게 데미지를 줌
22	매직클로	4	1	0	1	0	0	2	Spell_MagicClaw	적에게 두번데미지를 줌
23	메테오스톰	4	2	0	0.5	0	0	8		
24	지혜의 책	0	6	0	0	0	0	10	Spell_Concentrate	다음스킬 시전전까지 지능이 1.5배로 증가함
25	요정의 가루	4	5	0	0.8	0	0	10		
26	회복의 일격	2	0	1	0	0	0	3		요정의 칼 전용스킬 상대를 공격시 아군전체 0.2힐
27	에고소드 장착	2	6	0	0	0	0	10	Spell_SwordEquip	스킬이 활성화된상태에서 아군이 막타를 치면 아군한명에게 장착 아군은 에고소드의 스텟을 얻음 장착된상태에선 에고소드는 행동하지않음
28	검이 선택한자	2	6	0	0	0	0	10	Spell_ChoiceOfSword	에고소드를 파괴하고 아군하나를 지정해서 부활
29	아군현혹	2	6	0	0	0	0	10	Spell_Obey	마지막으로 사용한 아군의 스킬이 한번더 발동함
30	영혼의 침묵	4	6	0	0	0	0	15	Spell_SoulInocence	적 전체를 2초간 스킬사용을 봉쇄함(침묵을 검)
31	현혹	4	6	0	0	0	0.2	15	Spell_EnemyDefDown	적전체 방어력 감소
32	자폭인형	2	0	0	0.5	0	0	0	Spell_Doll	인형의 잔재스택이 쌓임 적진영 가장앞에 있는 유닛을 공격함 평타계열 쿨타임을 가진스킬을 버릴시 발동 또는 아군이 스킬을 5개이상 발동시 발동
33	바늘인형	2	0	0	0	0	0	0		
34	꼭두각시 서커스	4	0	0	0	0	0	15	Spell_DollFestival	인형의 잔재스택을 모두 소모하여 특수한 공격을 날림 스킬계수와 스킬효과는 현재 인형의 잔재스택에 따라 달라짐
